Date,Province,District,Type,Occurred,Alerts,Month,Week,Alert Outcome
2025-08-09,AJK,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-09,Balochistan,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-09,Sindh,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-09,Punjab,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-07-09,Balochistan,,Rain,0,1,2025-07,2025-07-07/2025-07-13,False Positive
2025-07-09,Punjab,,Rain,1,1,2025-07,2025-07-07/2025-07-13,True Positive
2025-07-09,Sindh,,Rain,0,1,2025-07,2025-07-07/2025-07-13,False Positive
2025-07-09,Sindh,,Rain,0,1,2025-07,2025-07-07/2025-07-13,False Positive
2025-07-09,AJK,,Rain,1,1,2025-07,2025-07-07/2025-07-13,True Positive
2025-07-09,Punjab,,Rain,1,1,2025-07,2025-07-07/2025-07-13,True Positive
2025-06-09,Sindh,,Rain,0,1,2025-06,2025-06-09/2025-06-15,False Positive
2025-06-09,Sindh,,Rain,0,1,2025-06,2025-06-09/2025-06-15,False Positive
2025-06-09,AJK,,Rain,1,1,2025-06,2025-06-09/2025-06-15,True Positive
2025-06-09,KPK,,Rain,1,1,2025-06,2025-06-09/2025-06-15,True Positive
2025-06-09,Punjab,,Rain,1,1,2025-06,2025-06-09/2025-06-15,True Positive
2025-06-09,Punjab,,Rain,1,1,2025-06,2025-06-09/2025-06-15,True Positive
2025-05-09,Sindh,,Rain,1,1,2025-05,2025-05-05/2025-05-11,True Positive
2025-05-09,Balochistan,,Flash Flood,0,1,2025-05,2025-05-05/2025-05-11,False Positive
2025-05-09,Balochistan,,Rain,1,1,2025-05,2025-05-05/2025-05-11,True Positive
2025-05-09,Punjab,,Flood,1,1,2025-05,2025-05-05/2025-05-11,True Positive
2025-05-09,Sindh,,Flood,1,1,2025-05,2025-05-05/2025-05-11,True Positive
2025-03-09,Balochistan,,Rain,1,1,2025-03,2025-03-03/2025-03-09,True Positive
2025-03-09,Punjab,,Rain,1,1,2025-03,2025-03-03/2025-03-09,True Positive
2025-03-09,GB & AJK,,Rain,1,1,2025-03,2025-03-03/2025-03-09,True Positive
2025-03-09,KPK,,Rain,1,1,2025-03,2025-03-03/2025-03-09,True Positive
2025-02-09,KPK,,Rain,1,1,2025-02,2025-02-03/2025-02-09,True Positive
2025-02-09,AJK,,Rain,1,1,2025-02,2025-02-03/2025-02-09,True Positive
2025-02-09,Punjab,,Rain,1,1,2025-02,2025-02-03/2025-02-09,True Positive
2025-01-09,KPK,,Rain,1,1,2025-01,2025-01-06/2025-01-12,True Positive
2025-01-09,AJK,,Rain,1,1,2025-01,2025-01-06/2025-01-12,True Positive
2025-01-09,Punjab,,Rain,1,1,2025-01,2025-01-06/2025-01-12,True Positive
2025-08-31,Punjab,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-31,AJK,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-31,KPK,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-31,Punjab,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-31,KPK & AJK,,Flash Flood,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-31,Punjab,,Flood,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-30,KPK,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-30,AJK,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-30,Punjab,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-29,Punjab,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-29,Balochistan,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-29,KPK,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-29,Punjab,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-28,AJK,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-27,Punjab,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-26,Sindh,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-26,AJK,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-26,Punjab,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-25,Punjab,,Flood,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-25,AJK,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-25,Punjab,,Rain,1,1,2025-08,2025-08-25/2025-08-31,True Positive
2025-08-24,Punjab,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-24,KPK,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-24,Sindh,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-24,Balochistan,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-24,GB & AJK,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-23,KPK,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-23,Punjab,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-23,Pothohar Region,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-23,Balochistan,,Flash Flood,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-22,KPK,,Flash Flood,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-22,Punjab,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-22,Punjab,,Flash Flood,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-22,KPK,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-22,GB & AJK,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-21,Sindh,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-21,GB & KPK,,GLOF,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-21,Sindh,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-20,Balochistan,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-20,Balochistan,,Flash Flood,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-19,Sindh,,Flash Flood,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-19,Punjab,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-19,Balochistan,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-19,Sindh,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-18,AJK,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-18,Balochistan,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-18,KPK,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-18,Sindh,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-18,Punjab,,Rain,1,1,2025-08,2025-08-18/2025-08-24,True Positive
2025-08-17,Punjab,,Flash Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-17,KPK,,Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-17,Sindh,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-17,Balochistan,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-17,KPK,,GLOF,0,1,2025-08,2025-08-11/2025-08-17,False Positive
2025-08-17,Punjab,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-17,KPK,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-17,AJK,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,Balochistan,,Flash Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,Punjab,,Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,KPK,,Flash Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,Punjab,,Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,AJK,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,KPK,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,Punjab,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,Sindh,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,Sindh,,Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,Balochistan,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-16,Northern Pakistan,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-15,Potohar Region,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-15,AJK,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-15,KPK,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-15,GB,,GLOF,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-15,GB,,Flash Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-15,KPK,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-13,Punjab,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-13,KPK,,Flash Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-12,Punjab,,Flash Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-12,Punjab,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-12,GB,,Flash Flood,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-12,KPK,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-12,KPK,,Rain,1,1,2025-08,2025-08-11/2025-08-17,True Positive
2025-08-08,Punjab,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-08,KPK,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-06,GB,,Flash Flood,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-06,Punjab,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-05,Punjab,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-05,KPK,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-05,AJK,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-05,AJK,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-04,KPK,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-04,Punjab,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-04,Punjab,,Flood,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-04,Punjab,,Flood,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-04,Potohar Region,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-01,Potohar Region,,Rain,1,1,2025-08,2025-07-28/2025-08-03,True Positive
2025-08-01,Punjab,,Rain,1,1,2025-08,2025-07-28/2025-08-03,True Positive
2025-07-31,KPK,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-31,KPK,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-30,Punjab,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-30,Punjab,,Flood,0,1,2025-07,2025-07-28/2025-08-03,False Positive
2025-07-30,GB & KPK,,GLOF,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-30,KPK,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-29,Punjab,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-29,KPK,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-28,Punjab,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-28,KPK,,Flash Flood,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-28,Punjab,,Flood,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-28,GB & AJK,,Flash Flood,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-27,Punjab,,Rain,1,1,2025-07,2025-07-21/2025-07-27,True Positive
2025-07-24,KPK,,Rain,1,1,2025-07,2025-07-21/2025-07-27,True Positive
